timestamp,cpu_percent,ram_used_mb,ram_percent,read_MBps,write_MBps,read_IOPS,write_IOPS
10:27:54,129.70,138.66,0.05,1.13,153.03,420.17,310.35
10:27:59,141.10,138.66,0.05,0.00,204.12,0.00,408.25
10:28:04,141.20,139.71,0.05,0.00,204.28,0.00,408.56
10:28:09,140.50,142.50,0.06,0.00,204.14,0.00,408.27
10:28:14,141.10,142.50,0.06,0.00,204.13,0.00,408.26
10:28:19,140.70,143.06,0.06,0.00,204.13,0.00,408.26
10:28:24,140.50,143.48,0.06,0.00,204.13,0.00,408.26
10:28:29,140.70,143.48,0.06,0.00,204.01,0.00,408.01
10:28:34,75.30,143.48,0.06,0.00,102.27,0.00,204.53
10:28:39,71.30,143.55,0.06,0.00,102.07,0.00,204.14
10:28:44,71.50,143.55,0.06,0.00,106.65,0.00,213.30
10:28:49,29.80,143.55,0.06,0.00,46.45,0.00,92.90
10:28:54,41.40,143.55,0.06,0.00,61.80,0.00,123.59
10:28:59,25.40,143.55,0.06,0.00,31.70,0.00,63.39
10:29:05,42.80,143.55,0.06,0.00,57.74,0.00,115.48
10:29:10,46.20,143.55,0.06,0.00,67.66,0.00,135.32
10:29:16,59.50,143.55,0.06,0.00,73.27,0.00,146.55
10:29:22,35.60,143.55,0.06,0.00,43.23,0.00,86.45
10:29:27,43.60,143.80,0.06,0.00,55.78,0.00,111.57
10:29:33,44.00,143.80,0.06,0.00,53.09,0.00,106.18
10:29:39,43.80,143.80,0.06,0.00,51.41,0.00,102.81
10:29:45,44.20,143.80,0.06,0.00,55.14,0.00,110.29
10:29:51,44.00,143.80,0.06,0.00,53.82,0.00,107.64
10:29:57,140.50,143.80,0.06,0.00,172.25,0.00,344.49
10:30:02,46.40,143.80,0.06,0.00,70.58,0.00,141.15
10:30:08,33.80,143.80,0.06,0.00,37.28,0.00,74.56
10:30:14,51.50,143.80,0.06,0.00,67.80,0.00,135.61
10:30:19,37.40,143.80,0.06,0.00,51.44,0.00,102.87
10:30:24,35.00,143.80,0.06,0.00,48.74,0.00,97.48
10:30:30,139.90,143.80,0.06,0.00,164.56,0.00,329.11
10:30:35,13.80,143.80,0.06,0.00,25.12,0.00,50.24
10:30:40,29.80,143.80,0.06,0.00,38.69,0.00,77.37
10:30:45,28.40,143.80,0.06,0.00,38.28,0.00,76.56
10:30:50,42.20,143.80,0.06,0.00,63.79,0.00,127.59
10:30:55,15.00,143.80,0.06,0.00,25.52,0.00,51.03
10:31:00,27.40,143.80,0.06,0.00,38.28,0.00,76.56
10:31:05,41.40,143.80,0.06,0.00,60.60,0.00,121.20
10:31:10,14.00,143.80,0.06,0.00,15.95,0.00,31.90
10:31:15,28.80,143.80,0.06,0.00,39.67,0.00,79.35
10:31:20,70.10,143.80,0.06,0.00,101.07,0.00,202.14
10:31:25,25.80,143.80,0.06,0.00,37.88,0.00,75.75
10:31:30,26.60,143.80,0.06,0.00,38.28,0.00,76.56
10:31:35,26.20,143.80,0.06,0.00,38.28,0.00,76.56
10:31:40,37.60,143.80,0.06,0.00,55.36,0.00,110.64
10:31:45,19.20,143.80,0.06,0.00,33.36,0.00,66.79
10:31:50,21.20,143.80,0.06,0.00,26.12,0.00,52.25
10:31:56,23.00,143.80,0.06,0.00,37.88,0.00,75.76
10:32:01,27.20,143.80,0.06,0.00,38.68,0.00,77.35
10:32:06,27.00,143.80,0.06,0.00,38.28,0.00,76.57
10:32:11,27.00,143.80,0.06,0.00,38.28,0.00,76.56
10:32:16,73.30,143.80,0.06,0.00,102.09,0.00,204.19
10:32:21,11.40,143.80,0.06,0.00,17.15,0.00,34.29
10:32:26,7.40,143.80,0.06,0.00,8.29,0.00,16.57
10:32:31,18.00,143.80,0.06,0.00,25.23,0.00,50.47
10:32:36,15.40,143.80,0.06,0.00,24.92,0.00,49.84
10:32:41,53.30,143.80,0.06,0.00,76.57,0.00,153.13
10:32:46,60.30,143.80,0.06,0.00,89.31,0.00,178.62
10:32:51,139.90,143.80,0.06,0.00,203.94,0.00,407.88
10:32:56,140.10,143.80,0.06,0.00,198.36,0.00,396.72
10:33:01,104.10,143.80,0.06,0.00,146.33,0.00,292.66
10:33:08,52.70,143.80,0.06,0.00,55.06,0.00,110.11
10:33:14,35.80,143.80,0.06,0.00,46.63,0.00,93.26
10:33:19,25.80,143.80,0.06,0.00,35.50,0.00,71.00
10:33:24,17.60,143.80,0.06,0.00,23.76,0.00,47.51
10:33:29,17.40,143.80,0.06,0.00,24.93,0.00,49.87
10:33:35,9.00,143.80,0.06,0.00,12.36,0.00,24.71
10:33:40,8.20,143.80,0.06,0.00,12.37,0.00,24.74
10:33:45,65.90,143.80,0.06,0.00,98.33,0.00,196.67
10:33:50,21.80,143.80,0.06,0.00,25.52,0.00,51.04
10:33:55,129.10,143.80,0.06,0.00,191.39,0.00,382.77
10:34:00,3.60,143.80,0.06,0.00,0.20,0.00,0.40
10:34:05,139.70,143.80,0.06,0.00,199.02,0.00,398.03
