timestamp,cpu_percent,ram_used_mb,ram_percent,read_MBps,write_MBps,read_IOPS,write_IOPS
20:22:39,123.00,112.27,0.75,0.88,127.46,2488.41,364.45
20:22:40,179.00,112.27,0.75,0.00,445.61,0.00,891.21
20:22:41,181.00,112.27,0.75,0.00,413.91,0.00,827.82
20:22:42,181.00,112.27,0.75,0.00,445.01,0.00,890.03
20:22:43,180.00,112.40,0.75,0.00,414.14,0.00,828.29
20:22:44,172.00,412.93,2.77,0.00,196.09,256.63,458.56
20:22:45,357.00,422.18,2.83,0.00,193.62,255.86,610.90
20:22:46,347.00,422.38,2.83,0.00,192.99,256.72,632.84
20:22:47,327.00,422.31,2.83,0.00,190.08,255.59,606.66
20:22:48,339.00,423.06,2.84,0.00,181.85,307.29,604.64
20:22:49,312.00,423.18,2.84,0.00,149.98,372.26,501.65
20:22:50,305.00,423.31,2.84,0.00,151.92,345.31,505.52
20:22:51,310.90,423.31,2.84,0.00,159.08,256.03,520.04
20:22:52,338.00,423.31,2.84,0.00,172.47,257.03,571.85
20:22:53,366.00,423.31,2.84,0.00,194.45,255.82,650.46
20:22:54,351.90,423.31,2.84,0.00,192.05,254.77,628.50
20:22:55,355.90,423.31,2.84,0.00,192.55,254.88,632.73
20:22:56,317.90,423.31,2.84,0.00,175.45,300.49,577.17
20:22:57,306.90,423.31,2.84,0.00,154.06,358.56,509.96
20:22:58,304.90,423.31,2.84,0.00,155.04,349.55,511.87
20:22:59,302.90,423.31,2.84,0.00,157.07,272.95,516.01
20:23:00,308.90,423.31,2.84,0.00,153.13,257.08,508.19
20:23:01,369.00,423.31,2.84,0.00,199.89,256.13,650.79
20:23:02,364.90,423.31,2.84,0.00,204.53,255.98,674.31
20:23:03,376.90,423.31,2.84,0.00,196.29,254.90,667.50
20:23:04,314.90,423.31,2.84,0.00,174.99,322.12,565.94
20:23:05,307.90,423.31,2.84,0.00,154.11,324.81,510.13
20:23:06,305.90,423.31,2.84,0.00,156.03,325.66,513.89
20:23:07,306.90,423.93,2.84,0.00,144.91,307.87,490.20
20:23:08,309.90,424.18,2.84,0.00,163.27,256.03,529.99
20:23:09,340.00,424.18,2.84,0.00,173.47,256.03,573.82
20:23:10,335.00,424.68,2.85,0.00,191.86,255.66,622.74
20:23:11,362.00,424.68,2.85,0.00,193.50,255.57,638.44
20:23:12,331.00,424.68,2.85,0.00,158.51,256.97,543.83
20:23:13,234.00,425.75,2.85,0.00,148.45,510.88,435.34
20:23:14,269.00,427.87,2.87,0.00,154.81,508.73,462.12
20:23:15,259.90,684.00,4.59,0.00,186.24,509.64,523.52
20:23:16,312.90,683.45,4.58,0.00,225.81,495.26,639.76
20:23:17,314.90,685.32,4.59,0.00,193.87,378.59,575.85
20:23:18,316.90,685.32,4.59,0.00,225.80,438.47,639.76
20:23:19,314.90,685.32,4.59,0.00,225.79,394.61,639.74
20:23:20,312.90,685.32,4.59,0.00,225.68,339.63,638.43
20:23:21,264.00,685.32,4.59,0.00,153.36,511.13,448.48
20:23:22,255.00,685.32,4.59,0.00,153.09,510.14,447.49
20:23:23,250.00,685.32,4.59,0.00,172.46,509.97,479.21
20:23:24,265.00,685.45,4.60,0.00,165.23,510.41,478.57
20:23:25,300.90,685.45,4.60,0.00,224.75,509.47,635.60
20:23:26,314.90,685.45,4.60,0.00,198.83,511.04,585.75
20:23:27,313.90,685.45,4.60,0.00,220.81,512.18,629.77
20:23:28,309.90,685.45,4.60,0.00,225.81,363.73,639.77
20:23:29,321.90,685.45,4.60,0.00,225.73,303.83,639.54
20:23:30,315.00,685.45,4.60,0.00,200.80,355.61,588.69
20:23:31,260.00,685.45,4.60,0.00,177.83,509.83,495.91
20:23:32,258.00,685.45,4.60,0.00,153.57,511.83,450.09
20:23:33,259.00,685.45,4.60,0.00,156.69,508.94,454.37
20:23:34,248.00,685.45,4.60,0.00,180.16,509.75,499.84
20:23:35,311.90,685.45,4.60,0.00,199.77,494.95,587.56
20:23:36,316.90,685.45,4.60,0.00,219.77,457.31,627.68
20:23:37,313.90,685.45,4.60,0.00,225.74,327.75,639.57
20:23:38,315.90,685.45,4.60,0.00,225.75,315.80,639.58
20:23:39,293.00,685.45,4.60,0.00,189.83,451.33,543.98
20:23:40,256.00,685.45,4.60,0.00,152.78,510.11,446.60
20:23:41,263.00,685.45,4.60,0.00,186.47,508.54,525.39
20:23:42,245.00,685.45,4.60,0.00,150.44,508.50,430.19
20:23:43,275.90,685.45,4.60,0.00,188.52,509.99,539.76
20:23:44,312.90,685.45,4.60,0.00,198.77,511.88,585.58
