timestamp,cpu_percent,ram_used_mb,ram_percent,read_MBps,write_MBps,read_IOPS,write_IOPS
20:32:45,124.00,111.99,0.75,0.07,127.55,2499.20,364.72
20:32:46,186.00,111.99,0.75,0.00,382.38,0.00,764.76
20:32:47,176.00,111.99,0.75,0.00,350.61,0.00,701.23
20:32:48,174.00,111.99,0.75,0.00,363.56,0.00,727.11
20:32:49,186.00,111.99,0.75,0.00,401.38,0.00,802.76
20:32:50,186.00,112.11,0.75,0.00,382.52,0.00,765.03
20:32:51,377.90,438.05,2.94,0.00,154.53,369.95,505.20
20:32:52,374.90,438.11,2.94,0.00,155.11,399.55,512.15
20:32:53,452.10,438.33,2.94,0.00,216.65,255.63,686.33
20:32:54,559.90,439.58,2.95,0.00,243.62,255.53,812.16
20:32:55,379.90,440.08,2.95,0.00,177.20,409.84,582.93
20:32:56,375.90,440.21,2.95,0.00,137.95,359.69,476.27
20:32:57,544.40,440.21,2.95,0.00,250.60,255.86,804.40
20:32:58,483.90,440.21,2.95,0.00,212.13,285.44,726.02
20:32:59,376.90,440.21,2.95,0.00,157.11,484.27,516.16
20:33:00,410.90,440.21,2.95,0.00,188.67,256.09,604.84
20:33:01,572.60,440.21,2.95,0.00,252.34,255.36,831.67
20:33:02,406.00,440.33,2.95,0.00,178.36,400.69,608.49
20:33:03,377.90,440.33,2.95,0.00,156.68,366.69,514.76
20:33:04,516.00,440.33,2.95,0.00,241.43,256.10,784.24
20:33:05,509.90,440.33,2.95,0.00,224.34,278.26,752.29
20:33:06,374.90,440.33,2.95,0.00,154.10,471.26,510.12
20:33:07,374.90,440.33,2.95,0.00,158.11,275.99,518.11
20:33:08,545.00,440.33,2.95,0.00,245.96,256.14,796.32
20:33:09,473.90,440.33,2.95,0.00,221.23,276.76,743.68
20:33:10,375.90,440.33,2.95,0.00,152.12,440.40,506.16
20:33:11,376.90,440.33,2.95,0.00,154.11,307.89,510.16
20:33:12,545.00,440.33,2.95,0.00,245.87,256.11,795.25
20:33:13,488.90,440.33,2.95,0.00,219.30,264.81,740.66
20:33:14,377.00,440.33,2.95,0.00,154.10,429.39,510.09
20:33:15,372.90,440.33,2.95,0.00,156.09,331.75,514.06
20:33:16,373.00,647.82,4.34,0.00,182.22,513.13,601.81
20:33:17,381.90,704.82,4.73,0.00,193.22,498.49,540.28
20:33:18,382.90,705.45,4.73,0.00,225.77,523.11,639.68
20:33:19,382.90,704.88,4.73,0.00,225.76,511.13,639.66
20:33:20,387.90,706.88,4.74,0.00,193.78,510.85,575.58
20:33:21,383.90,707.00,4.74,0.00,225.75,512.11,639.63
20:33:22,384.00,707.38,4.74,0.00,225.84,511.27,639.84
20:33:23,384.00,707.50,4.74,0.00,225.57,511.69,639.11
20:33:24,419.90,707.50,4.74,0.00,229.04,511.23,663.70
20:33:25,386.00,707.50,4.74,0.00,220.41,512.27,620.90
20:33:26,423.90,707.50,4.74,0.00,234.69,511.12,684.49
20:33:27,418.90,707.50,4.74,0.00,263.73,510.94,748.98
20:33:28,375.90,707.50,4.74,0.00,217.97,509.15,620.09
20:33:30,395.00,707.50,4.74,0.00,199.72,509.72,591.04
20:33:31,393.00,707.50,4.74,0.00,256.85,510.02,712.84
20:33:32,406.50,707.50,4.74,0.00,229.96,510.35,659.58
20:33:33,376.00,707.50,4.74,0.00,192.86,508.44,572.86
20:33:34,420.00,707.62,4.74,0.00,261.86,508.85,739.97
20:33:35,416.80,707.62,4.74,0.00,228.25,510.48,661.44
20:33:36,381.90,707.75,4.75,0.00,256.60,510.80,714.53
20:33:37,383.90,707.75,4.75,0.00,195.28,510.95,570.71
20:33:38,384.00,707.75,4.75,0.00,228.77,511.59,662.88
20:33:39,369.90,707.75,4.75,0.00,212.73,508.96,595.11
20:33:40,351.00,707.75,4.75,0.00,166.38,511.82,491.90
20:33:41,329.00,707.75,4.75,0.00,187.97,511.51,540.37
20:33:42,334.10,707.75,4.75,0.00,190.79,507.41,544.92
20:33:43,377.50,709.75,4.76,0.00,220.73,507.40,627.84
20:33:44,386.00,711.62,4.77,0.00,225.39,510.08,641.07
20:33:45,415.50,711.62,4.77,0.00,231.45,508.77,670.43
20:33:46,388.90,711.62,4.77,0.00,223.11,510.43,639.52
20:33:47,351.90,711.62,4.77,0.00,200.55,510.69,568.43
20:33:48,403.90,711.62,4.77,0.00,249.05,509.70,700.46
20:33:49,222.00,520.02,3.49,0.00,112.82,1457.57,358.45
20:33:50,395.90,564.89,3.79,0.00,192.24,1457.24,537.55
20:33:51,419.90,932.81,6.25,0.00,225.65,1001.84,639.34
20:33:52,423.90,932.33,6.25,0.00,225.76,876.78,639.65
20:33:53,396.00,933.20,6.26,0.00,189.82,1057.99,543.94
20:33:54,240.00,935.45,6.27,0.00,112.46,1465.33,319.11
20:33:55,338.00,938.20,6.29,0.00,142.54,1465.07,411.49
20:33:56,383.00,941.08,6.31,0.00,200.27,1466.77,580.93
20:33:57,427.00,941.20,6.31,0.00,225.42,1396.88,638.74
